Channel Name,Video Title,Comment,Sentiment
MrBeast,Running With Bigger And Bigger Lunchlys,I love you,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,Please give me one iPhone😢😢😢😢!🥺🥺🥺🥺🥺🥺🥺🥺,Negative
MrBeast,Running With Bigger And Bigger Lunchlys,❤❤😂😂🎉😢😮😮😅😊😊❤❤❤😂😂😂🎉🎉😢😢😢😮😮😅😅😊😊❤❤😂😂😢,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,It&#39;s a lot it&#39;s all good,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,Can you buy a car for my dad ??,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,😅😂😂😂😂😂😂😂😮😂😮😮😂😮😂😂,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,😂❤,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,❤❤❤❤ nice 👍👍👍,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,😂😂😂😂😂,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,❤❤,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,❤❤❤❤❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊🎉🎉🎉🎉🎉🎉🎉,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,🙏🙏,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,😂😂😂😂😂,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,😂😮😢😭😭😭😭😭😭😭😭😭😭😭,Negative
MrBeast,Running With Bigger And Bigger Lunchlys,😮😮,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,give me,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Hi MrBeast,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,bro ksi got me so much bro is so calm,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Nice ☺️,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,😂😂😂que risa,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Jimmy I love you video and you,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,😅😅😅😊😮,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,😊 hello,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,😊😊😊😊,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,❤,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,Mrbeast it&#39;s too big,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Mrbeast is 💪💪💪💪💪💪💪,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,EGORIK,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Wow,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Plz help sir,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Is that a cherry pime🎉,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,❤❤❤❤❤❤❤❤❤❤,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,👍,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Hey Mr beast I  subscribe I can I Samsung phone plz🙏🙏🙏,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,😂😂,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Crazy!!!,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,😮😮😮😮,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,We want feastables in India please,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,"GTA new character unlocked, KSI",Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,😮,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,😂😂😂,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Please iphone get me,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Where can I buy it?,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Can I get one?,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,❤❤❤,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,I suscribed where is my cookie 🍪,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Mr  bistttttttttt,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Make a 300 million subscriber celebration,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,I subscribe to u,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,I love your video 🎉❤,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,Please give me money please,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,hi,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Nice video 👍📸,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Wwe logan paul,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Where&#39;s speed,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Ma aapka bada fan hu,Negative
MrBeast,Running With Bigger And Bigger Lunchlys,So cool🤣🤣,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Mr beast,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,😅,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,I love mr beast ❤❤🎉,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,Please can you came Kurdistan in IRAQ 🇮🇶,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Nhìn mấy ổng hài z,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,reality omg 😮,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Nice,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,❤❤❤,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,Hi,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,❤,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,ارجوك تعال الى السعودية,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Why Mr beast just big lunchiny??,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Amazing,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,❤,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,😅😅😅😅😢😢😢,Negative
MrBeast,Running With Bigger And Bigger Lunchlys,😢😢😢😢,Negative
MrBeast,Running With Bigger And Bigger Lunchlys,❤❤<br>😊,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,Hi came to Sri Lanka bro,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Love u bro 🎉🎉,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,😂😂😂😂,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,চলো আমরা একে অপরকে সাপোর্ট করি,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,You know malayalam actor mammootty,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Yoo ksi,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,I got glowbery prime,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Hello,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,it is big😂😂😂,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,😊😊😊💝❤️❤️‍🩹💜🖤🧡💚🤍💗💙💛❤️‍🔥💞,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,the biggest box i have ever seen,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Why there big box,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,I love how funny it looks 😂,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,😅😊,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,How big do you expect kids lunch boxes to be? 🥲,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,teamo😍😙,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Mr beast is to pretry,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Who like the mini pizza?😂😂,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,❤,Positive
MrBeast,Running With Bigger And Bigger Lunchlys,Lunchables ❌ Lunchys✅,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,They look so serious 😭,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Casi aplastan a mrbeast,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,It&#39;s just cardboard 😒,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Ronaldo is 🐐,Neutral
MrBeast,Running With Bigger And Bigger Lunchlys,Hello mr beast,Neutral
MrBeast,Holding Bigger And Bigger Dogs,🤣,Neutral
MrBeast,Holding Bigger And Bigger Dogs,❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,He has a sausage dog,Neutral
MrBeast,Holding Bigger And Bigger Dogs,❤❤❤❤ 😂😂😂😅😅 Nice,Positive
MrBeast,Holding Bigger And Bigger Dogs,❤❤❤❤❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,Mr,Neutral
MrBeast,Holding Bigger And Bigger Dogs,Perro lobo,Neutral
MrBeast,Holding Bigger And Bigger Dogs,The Last is a big one…😮,Neutral
MrBeast,Holding Bigger And Bigger Dogs,ههههه😂,Neutral
MrBeast,Holding Bigger And Bigger Dogs,Dog❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,Yes❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,😂😂,Neutral
MrBeast,Holding Bigger And Bigger Dogs,❤❤❤❤❤❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,I have never seen a dog like this before.😮,Positive
MrBeast,Holding Bigger And Bigger Dogs,No,Neutral
MrBeast,Holding Bigger And Bigger Dogs,He just speaked subscribe So I dont want touch like,Positive
MrBeast,Holding Bigger And Bigger Dogs,That first dog looks like my brother&#39;s dog,Positive
MrBeast,Holding Bigger And Bigger Dogs,🦁🐯🦁🐯🦁🐯🐅🐆🐅🐆🐅🐆🐅,Neutral
MrBeast,Holding Bigger And Bigger Dogs,Dog,Neutral
MrBeast,Holding Bigger And Bigger Dogs,Hi❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,"Such a lovely dog, it&#39;s amazing",Positive
MrBeast,Holding Bigger And Bigger Dogs,Wow,Neutral
MrBeast,Holding Bigger And Bigger Dogs,Mujhe ek cycle chahie motor wali please,Neutral
MrBeast,Holding Bigger And Bigger Dogs,😂😂😂❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,I love dog ❤❤❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,Ooh dog,Neutral
MrBeast,Holding Bigger And Bigger Dogs,We meet again,Neutral
MrBeast,Holding Bigger And Bigger Dogs,anjing terpencil  sampai terbesar😊,Neutral
MrBeast,Holding Bigger And Bigger Dogs,I love mister beast ❤❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,Hello brother,Neutral
MrBeast,Holding Bigger And Bigger Dogs,mr beast!!!🎉,Neutral
MrBeast,Holding Bigger And Bigger Dogs,Hello mrbest,Positive
MrBeast,Holding Bigger And Bigger Dogs,SUper😮😮,Neutral
MrBeast,Holding Bigger And Bigger Dogs,LOL,Neutral
MrBeast,Holding Bigger And Bigger Dogs,Nice video ❤❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,<b>dog sits on mrbeast&#39;s legs</b><br><br><br>Mrbeast: subscribe,Neutral
MrBeast,Holding Bigger And Bigger Dogs,Like if you love dogs,Positive
MrBeast,Holding Bigger And Bigger Dogs,All them are cute😊,Neutral
MrBeast,Holding Bigger And Bigger Dogs,😂😂😂❤❤❤❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,😮😮,Neutral
MrBeast,Holding Bigger And Bigger Dogs,🦁,Neutral
MrBeast,Holding Bigger And Bigger Dogs,The second dog was so cute🥹,Neutral
MrBeast,Holding Bigger And Bigger Dogs,🇮🇳🇮🇳🇮🇳🇮🇳❤️❤️❤️❤️,Positive
MrBeast,Holding Bigger And Bigger Dogs,Yooo that&#39;s a kangal mr beast can&#39;t pick him up,Neutral
MrBeast,Holding Bigger And Bigger Dogs,Hey Mr beast 😁👋,Neutral
MrBeast,Holding Bigger And Bigger Dogs,I love Mr beast ❤️,Positive
MrBeast,Holding Bigger And Bigger Dogs,Nice,Neutral
MrBeast,Holding Bigger And Bigger Dogs,😂😂😂,Neutral
MrBeast,Holding Bigger And Bigger Dogs,Кто русский? (У меня собака больше),Neutral
MrBeast,Holding Bigger And Bigger Dogs,"Готов продавать твои шоколады в Казахстане, дай мне шанс",Neutral
MrBeast,Holding Bigger And Bigger Dogs,ما شاء الله 😂❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,❤❤❤❤❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,Nice❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,Wow ❤❤❤😂,Positive
MrBeast,Holding Bigger And Bigger Dogs,I had your chocolate  today,Neutral
MrBeast,Holding Bigger And Bigger Dogs,Small dog and a big dog,Neutral
MrBeast,Holding Bigger And Bigger Dogs,Love from India bro ❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,I am big fan of yours sir,Neutral
MrBeast,Holding Bigger And Bigger Dogs,puppies 😮😍😍,Neutral
MrBeast,Holding Bigger And Bigger Dogs,😂❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,All dogs are so cute,Neutral
MrBeast,Holding Bigger And Bigger Dogs,❤❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,🐕,Neutral
MrBeast,Holding Bigger And Bigger Dogs,❤❤❤❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,Bro the last one is a bear,Neutral
MrBeast,Holding Bigger And Bigger Dogs,Hello my name is Sergio am new on you Chanel from Mozambique,Neutral
MrBeast,Holding Bigger And Bigger Dogs,All dogs was cute😊😊😊,Neutral
MrBeast,Holding Bigger And Bigger Dogs,Последний - боченок счастья,Neutral
MrBeast,Holding Bigger And Bigger Dogs,😂,Neutral
MrBeast,Holding Bigger And Bigger Dogs,.❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,The chow chow so cute,Neutral
MrBeast,Holding Bigger And Bigger Dogs,Big dog 😂,Neutral
MrBeast,Holding Bigger And Bigger Dogs,Do it with a tibbetan mastiff next plz,Neutral
MrBeast,Holding Bigger And Bigger Dogs,❤❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,Last one cute,Neutral
MrBeast,Holding Bigger And Bigger Dogs,The last one beautiful✨❤,Positive
MrBeast,Holding Bigger And Bigger Dogs,🎉🎉,Neutral
MrBeast,Holding Bigger And Bigger Dogs,The last one very nice,Neutral
MrBeast,Holding Bigger And Bigger Dogs,Last one cute,Neutral
